zip,lat,lng,population
21117,39.42719,-76.77795,59663
60016,42.05232,-87.8899,59663
92324,34.03398,-117.29008,59628
10473,40.81817,-73.85889,59627
92507,33.97464,-117.32234,59612
11216,40.68085,-73.94929,59567
22407,38.28581,-77.58055,59551
10032,40.839,-73.94282,59527
76010,32.72271,-97.08065,59526
92571,33.84182,-117.19522,59417
19720,39.645,-75.60678,59410
11435,40.70111,-73.80968,59392
78520,25.96564,-97.55103,59388
78586,26.10715,-97.64576,59360
93117,34.49102,-120.08201,59298
95355,37.6727,-120.94717,59272
23320,36.75208,-76.21807,59248
29445,32.9976,-79.98757,59233
95051,37.3483,-121.98444,59209
93312,35.39186,-119.11954,59200
92057,33.25326,-117.28704,59190
28314,35.0557,-79.01678,59189
95828,38.48943,-121.39598,59139
33458,26.93477,-80.12906,59098
72401,35.86835,-90.66193,59098
30144,34.03672,-84.59174,59085
27834,35.6571,-77.37981,59049
78681,30.5355,-97.71981,58983
90001,33.97365,-118.24904,58974
80016,39.59391,-104.72311,58948
33033,25.47858,-80.4057,58869
90066,34.00166,-118.43104,58851
30101,34.04355,-84.71244,58844
28227,35.18851,-80.6507,58813
19149,40.03781,-75.06544,58811
30080,33.87864,-84.5053,58806
612,18.41283,-66.7051,58771
75098,33.01432,-96.53531,58717
93309,35.34266,-119.06461,58709
48044,42.64988,-82.9296,58675
92780,33.73685,-117.81968,58654
92117,32.82493,-117.19972,58651
10033,40.84744,-73.93549,58648
33065,26.27318,-80.26029,58637
31907,32.48388,-84.89976,58615
19446,40.23068,-75.30369,58570
28173,34.91532,-80.73021,58565
90006,34.04807,-118.29411,58560
27858,35.53229,-77.29709,58502
31419,31.98479,-81.23867,58483
93291,36.38931,-119.36838,58394
85383,33.80297,-112.31734,58375
65807,37.166,-93.32483,58366
29732,34.96979,-81.07963,58351
55106,44.95743,-93.04679,58335
65203,38.89497,-92.39928,58271
10009,40.72639,-73.97865,58267
22003,38.8308,-77.21402,58252
92113,32.69591,-117.12012,58231
83301,42.39472,-114.52203,58230
98208,47.90072,-122.18852,58211
27519,35.80815,-78.88711,58178
